Algoritmo,Movimentos_Iniciais,Solucoes_Encontradas,Media_Movimentos,Media_Nos_Expandidos,Media_Tempo_Segundos
DFS,1,3,19.0,20.0,0.0016162395477294922
DFS,2,1,2.0,1333334.3333333333,11.110850175221762
DFS,3,3,21.0,22.0,0.0020759900410970054
DFS,4,0,0,2000000.0,16.071102301279705
DFS,5,1,51.0,1333350.6666666667,10.782205899556478
DFS,6,1,50.0,1333350.3333333333,10.509859482447306
DFS,7,0,0,2000000.0,15.979975938796997
DFS,8,0,0,2000000.0,15.71409821510315
DFS,9,0,0,2000000.0,15.688616514205933
DFS,10,0,0,2000000.0,15.736172596613565
DFS,11,0,0,2000000.0,15.632606347401937
DFS,12,0,0,2000000.0,15.664387067159018
DFS,13,0,0,2000000.0,15.715726375579834
DFS,14,0,0,2000000.0,15.676441510518393
DFS,15,0,0,2000000.0,15.650916973749796
DFS,16,0,0,2000000.0,15.693137248357138
DFS,17,0,0,2000000.0,15.704534451166788
DFS,18,0,0,2000000.0,15.71140170097351
DFS,19,0,0,2000000.0,15.644350051879883
DFS,20,0,0,2000000.0,15.645501136779785
DFS,21,0,0,2000000.0,15.729423443476358
DFS,22,0,0,2000000.0,15.750463724136353
DFS,23,0,0,2000000.0,15.678986628850302
DFS,24,0,0,2000000.0,15.666345914204916
DFS,25,0,0,2000000.0,15.62824281056722
DFS,26,0,0,2000000.0,15.723410367965698
DFS,27,0,0,2000000.0,15.605063915252686
DFS,28,0,0,2000000.0,15.65889803568522
DFS,29,0,0,2000000.0,15.66085433959961
DFS,30,0,0,2000000.0,15.676878054936727
DFS,31,0,0,2000000.0,15.64661693572998
DFS,32,0,0,2000000.0,15.735774596532186
DFS,33,0,0,2000000.0,15.791381994883219
DFS,34,0,0,2000000.0,15.738444566726685
DFS,35,0,0,2000000.0,15.706588586171469
DFS,36,0,0,2000000.0,15.766850312550863
DFS,37,0,0,2000000.0,15.64717149734497
DFS,38,0,0,2000000.0,15.602859497070312
DFS,39,0,0,2000000.0,15.632000287373861
DFS,40,0,0,2000000.0,15.855232079823812
DFS,41,0,0,2000000.0,16.015303373336792
DFS,42,0,0,2000000.0,15.823577721913656
DFS,43,0,0,2000000.0,15.5824716091156
DFS,44,0,0,2000000.0,15.694646120071411
DFS,45,0,0,2000000.0,15.689656972885132
DFS,46,0,0,2000000.0,15.66514539718628
DFS,47,0,0,2000000.0,15.660788774490356
DFS,48,0,0,2000000.0,15.647152423858643
DFS,49,0,0,2000000.0,15.676939566930136
DFS,50,0,0,2000000.0,15.612403631210327
