curr,north,south,east,west,action
0,-1,1,0,-1,MOVE_S
1,0,0,0,-1,COLLECT_TRASH
0,0,0,0,1,MOVE_W
0,0,0,0,0,MOVE_N
0,0,1,0,0,MOVE_S
0,0,0,1,0,MOVE_E
0,-1,0,0,0,MOVE_E
1,0,0,0,0,COLLECT_TRASH
0,0,0,0,-1,MOVE_RANDOM
0,0,-1,0,0,MOVE_RANDOM
0,0,-1,-1,-1,MOVE_N
0,1,0,0,-1,MOVE_N
0,0,1,-1,0,MOVE_S
0,1,0,0,0,MOVE_N
1,0,-1,1,0,COLLECT_TRASH
0,0,-1,1,0,MOVE_E
1,-1,0,0,0,COLLECT_TRASH
0,-1,0,0,1,MOVE_W
0,0,0,-1,0,MOVE_W
0,0,-1,-1,0,MOVE_W
0,-1,1,0,0,MOVE_S
0,0,1,0,1,STAY
1,0,1,0,0,COLLECT_TRASH
1,1,0,0,0,COLLECT_TRASH
0,0,0,1,1,MOVE_W
0,0,0,-1,-1,MOVE_S
0,1,-1,0,0,MOVE_N
0,1,0,1,0,MOVE_N
0,-1,0,1,0,MOVE_E
1,0,0,-1,0,COLLECT_TRASH
1,0,0,1,0,COLLECT_TRASH
0,1,1,0,0,MOVE_N
0,0,1,1,0,MOVE_E
0,-1,0,0,-1,MOVE_S
0,0,1,0,-1,MOVE_S
0,-1,-1,0,0,MOVE_W
1,0,1,0,-1,COLLECT_TRASH
1,-1,0,-1,0,COLLECT_TRASH
0,1,0,-1,0,MOVE_N
1,-1,1,0,0,COLLECT_TRASH
0,-1,0,1,1,MOVE_RANDOM
1,-1,-1,0,0,COLLECT_TRASH
0,-1,1,0,1,MOVE_S
0,-1,0,-1,0,MOVE_S
1,0,0,1,-1,COLLECT_TRASH
1,0,0,1,1,COLLECT_TRASH
0,0,0,1,-1,MOVE_E
0,1,0,0,1,MOVE_W
1,0,-1,0,0,COLLECT_TRASH
0,0,-1,0,-1,MOVE_N
0,0,-1,0,1,MOVE_W
0,-1,-1,1,0,MOVE_E
1,0,1,1,-1,MOVE_S
1,0,-1,0,1,COLLECT_TRASH
0,0,0,-1,1,MOVE_W
1,1,0,-1,-1,COLLECT_TRASH
0,1,-1,1,0,MOVE_RANDOM
0,1,0,-1,-1,MOVE_N
1,0,-1,0,-1,COLLECT_TRASH
0,-1,-1,0,-1,MOVE_E
1,0,1,0,1,COLLECT_TRASH
0,1,1,0,1,MOVE_S
1,0,0,0,1,COLLECT_TRASH
0,1,1,1,0,MOVE_S
1,0,0,-1,1,COLLECT_TRASH
1,0,1,1,0,COLLECT_TRASH
1,-1,0,0,-1,COLLECT_TRASH
1,0,-1,-1,0,COLLECT_TRASH
0,1,0,-1,1,MOVE_RANDOM
0,-1,0,1,-1,MOVE_E
0,0,1,-1,1,MOVE_W
0,0,1,1,-1,MOVE_E
1,1,0,1,0,COLLECT_TRASH
1,1,0,1,1,MOVE_N
0,1,0,1,1,MOVE_N
0,0,1,-1,-1,MOVE_S
1,-1,0,1,0,COLLECT_TRASH
1,1,0,0,-1,COLLECT_TRASH
0,1,1,0,-1,MOVE_S
1,1,-1,0,0,COLLECT_TRASH
1,1,1,0,0,COLLECT_TRASH
1,0,-1,1,1,COLLECT_TRASH
0,0,-1,1,1,MOVE_E
1,-1,0,0,1,COLLECT_TRASH
0,-1,1,1,0,MOVE_S
0,0,1,1,1,MOVE_E
1,1,-1,0,-1,MOVE_N
0,1,1,-1,0,MOVE_RANDOM
1,1,0,0,1,COLLECT_TRASH
1,-1,0,-1,1,MOVE_S
0,-1,-1,-1,-1,STAY
1,0,1,-1,0,COLLECT_TRASH
0,1,1,-1,1,MOVE_N
0,1,0,1,-1,MOVE_N
1,1,0,-1,0,COLLECT_TRASH
1,0,0,-1,-1,COLLECT_TRASH
1,0,1,-1,1,MOVE_RANDOM
0,1,1,1,-1,MOVE_N
0,-1,0,-1,1,MOVE_RANDOM
0,-1,1,-1,0,MOVE_S
1,0,-1,1,-1,COLLECT_TRASH
0,0,-1,1,-1,MOVE_E
1,1,0,-1,1,MOVE_W
1,1,-1,1,0,MOVE_E
0,0,-1,-1,1,MOVE_W
1,-1,1,0,-1,COLLECT_TRASH
0,-1,-1,-1,0,MOVE_W
1,0,-1,-1,1,MOVE_W
1,1,1,0,-1,COLLECT_TRASH
1,0,1,-1,-1,MOVE_S
0,1,-1,0,-1,MOVE_N
0,1,-1,-1,0,MOVE_N
0,1,-1,0,1,MOVE_N
1,-1,0,1,1,COLLECT_TRASH
0,-1,0,-1,-1,MOVE_S
1,0,1,1,1,MOVE_S
0,-1,1,1,-1,MOVE_S
1,-1,1,-1,0,MOVE_RANDOM
0,-1,-1,0,1,MOVE_E
0,-1,-1,1,-1,MOVE_E
0,-1,1,1,1,MOVE_E
1,1,1,1,0,MOVE_N
1,1,-1,0,1,MOVE_N
1,1,1,0,1,MOVE_RANDOM
0,1,-1,-1,-1,MOVE_N
1,-1,1,1,0,COLLECT_TRASH
1,0,-1,-1,-1,MOVE_N
0,-1,1,-1,1,MOVE_S
0,-1,1,-1,-1,MOVE_RANDOM
1,1,0,1,-1,MOVE_N
1,-1,-1,-1,0,MOVE_W
1,1,-1,-1,0,MOVE_N
1,-1,-1,0,-1,MOVE_E
1,-1,-1,1,0,COLLECT_TRASH
1,-1,0,1,-1,MOVE_S
1,-1,1,0,1,MOVE_E
0,-1,-1,-1,1,MOVE_W
1,-1,-1,0,1,COLLECT_TRASH
1,-1,0,-1,-1,COLLECT_TRASH
0,1,-1,1,-1,MOVE_E
